"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 17 09:04:03 GMT 2023","Tue Jan 17 09:04:06 GMT 2023","3658","","home.work.StepAnnotationTest","","home.work.StepAnnotationTest","testAnnotatedStep","testAnnotatedStep()",""
"passed","Tue Jan 17 09:04:20 GMT 2023","Tue Jan 17 09:04:20 GMT 2023","1","","qa.guru.allure.LabelsTest","","qa.guru.allure.LabelsTest","testStaticLabels","Создание Issue для фвторизованного пользователя",""
"passed","Tue Jan 17 09:04:15 GMT 2023","Tue Jan 17 09:04:18 GMT 2023","2422","","qa.guru.allure.StepsTest","","qa.guru.allure.StepsTest","testLambdaStep","testLambdaStep()",""
"passed","Tue Jan 17 09:03:55 GMT 2023","Tue Jan 17 09:04:02 GMT 2023","6981","","home.work.LambdaStepTest","","home.work.LambdaStepTest","testLambdaStep","testLambdaStep()",""
"passed","Tue Jan 17 09:04:13 GMT 2023","Tue Jan 17 09:04:15 GMT 2023","2513","","qa.guru.allure.StepsTest","","qa.guru.allure.StepsTest","testAnnotatedStep","testAnnotatedStep()",""
"passed","Tue Jan 17 09:04:10 GMT 2023","Tue Jan 17 09:04:13 GMT 2023","3030","","qa.guru.allure.SelenideTest","","qa.guru.allure.SelenideTest","testIssueSearch","testIssueSearch()",""
"passed","Tue Jan 17 09:04:18 GMT 2023","Tue Jan 17 09:04:18 GMT 2023","614","","qa.guru.allure.AttachmentsTest","","qa.guru.allure.AttachmentsTest","testLambdaAttachments","testLambdaAttachments()",""
"passed","Tue Jan 17 09:04:20 GMT 2023","Tue Jan 17 09:04:20 GMT 2023","1","","qa.guru.allure.LabelsTest","","qa.guru.allure.LabelsTest","testDynamicLabels","Создание Issue для фвторизованного пользователя",""
"passed","Tue Jan 17 09:04:06 GMT 2023","Tue Jan 17 09:04:10 GMT 2023","3361","","home.work.SelenideListenerTest","","home.work.SelenideListenerTest","testIssueSearch","testIssueSearch()",""
"passed","Tue Jan 17 09:04:18 GMT 2023","Tue Jan 17 09:04:20 GMT 2023","1406","","qa.guru.allure.AttachmentsTest","","qa.guru.allure.AttachmentsTest","testAnnotatedAttachments","testAnnotatedAttachments()",""
